Azienda in cui i politici hanno investito;Numero politici che hanno investito
unipol prev;1
il gelato artigianale 178' srl;1
intesa sanpaolo risp port;1
expedia;2
fiat acr;2
plus petrol srl;1
progetti e gestioni srl;1
gerresheimer - ord shs (gxi-gr) eur;1
intesa san paolo spa;2
eurispes spa;1
Studio medico associato Biliardi Capurso;1
adf spa;2
bpem;1
studio legale associato pagliari-sollini;1
go deal snc;1
ottantaventi srl;1
radiocas srl;1
sas crispi 2000 di rita capini e c.;1
inditex (itx sm) eur;1
og services srl;1
gramsci srl;1
gm meccanica srl;1
enel gp;2
banca carige;2
fungo puglia rutigliano srl;1
finmeccanica;2
terna ord;3
banco popolare or.;1
saras;1
cavour consulting;1
intesa sanpaolo azioni ordinarie eur;1
landi (illegibile);1
gz corporate finance srl;1
unicredit ord - raggruppate;1
Servizi 18 srl;1
banca di teramo di credito coop.;2
centrale spa;1
eutelsat communications prom. e;1
no stop jumping srl ;1
inditex (itx sm);1
banca del vomano bcc scarl;1
negotium di morgoni mario e marcantoni giuseppe snc;1
enel soa;1
global publishers italia srl;1
cattolica ass;1
agenzia assicurativa;1
next group spa;1
luxottica ord;1
tesi italiana srl;1
symantec;2
tel de espana (tef sm);1
neapolis srl ;1
satelios tv srl ;1
ve.ba srl;2
no stop sas di cimmino & c;1
restart 1 srl ;1
soceità agricola bio green;1
studio associato dottori calderoli medici dentisti dei dottori clara e roberto calderoli;1
cassa di risparmio;1
unipol ordinaie;1
so.f.in spa ;1
recordati ord fraz;1
banco popolare spa;1
mvi sa;1
nuova triesteufficio srl;1
bcc tuscolo;1
a-sicura srl;2
dfl cremona srl (illegibile);1
azienda agricola fratelli ghedini s.s.;1
koninklijke ahold nv - eur;1
wrl standard fiber llc;1
volkswagen ag - preference share eur;1
capalbiofattoria soc agricola srl;1
experian;2
liberty global inc-a usd;1
enel green power;3
eurogest spa;2
allianz global strategy 70l;1
domafin srl;2
assilaus consulting sas ;1
iren;1
freeway moto srl;1
ant for two llc;1
b.invest srl;1
allianz global strategy 15l;1
microventures inv sa;1
azimut - benetti spa;2
immobiliare giada srl;1
intesa s. paolo;1
tora srl;1
btp enel;1
editoriale domani srl;1
la terza stella srl;1
ducati energia suda america s.a.;1
telecom italia media rsp;1
petrol linate sas;1
terna;1
garofalo spa;1
solaris s.s.;2
isia group srl;1
enel;20
cabot oil & gas corp (cog us);1
unicredit;13
arte mediterranea di gozza silvestro & c;1
ubi;1
gestione laboratori analisi srl;1
farmacia d'ambrosio sas;1
f.lli bruno snc;1
live in blue srl;1
prospecta srl;1
bolsas y mercados espanoles eur (bme sm);1
sviluppo sannio srl ;1
easy jet airline company ltd;1
tamburi partner intestment spa;1
pepè srl;1
premier service srl;1
fondi comuni;1
nestlè;2
immobiliare casteldelfino srl;1
asso snc di matteo mendes & c;1
villa beau sejour srl;1
evonik inds (evk gr);1
mediaset;1
eurizon strat.flex 15;2
candiolo 90 s.s.;1
editoriale nuovo friuli soc. coop. a r.l.;1
iride srl;1
btp 01 ag 2021 3,75%;2
ingg garofalo e tortorella associati;1
farmacia piazza bologna dott.ssa masci ;1
caterpillar inc $ (cat us);1
d1 partecipazioni srl;1
aplus srl;1
acea;2
la giostra srl;1
tecmaservizi di emanuele cani sas;2
albinea casa insieme;1
sidicina petroli sas ;1
classis capital spa;1
flomil srl;1
moretto car service srl;1
dune srl;1
finmeccanica spa;1
societé des bois du cap d'antibes societé civil;2
san quirico srl;2
aza;1
anadarko petroleum corp usd;1
tholos coop società di ingegneria società coop;1
deutsche telekom;1
enel spa (illegibile);1
breithorn;1
google inc cl a usd (googl us);1
edizioni 12 srl;1
danone s.a.;1
banca popolare milano;1
studio bernini associati;1
intesa sanpaolo ord;1
immobiliare torre;2
banca popolare di milano;2
microsoft co - du ndq;1
autovie venete spa;1
scor sa eur regroupe;2
gestione imm.re sas;1
generali;4
genius car sas srl;1
arnica;1
cantine catena di d'agostino angelo antonio;1
ingenia srl ;1
Imar Assicurazioni srl;1
microsoft;1
bca pop emilia romagna;2
enel ;1
studio legale scalia e associati;1
tiscali;2
snam spa;1
beauty realm srl ;1
fattorini immobiliare srl;1
uniservices srl;1
jeronimo martins sgp;2
bayer a.g.new - eu xtr;1
halliburton co. (hall us) $;1
alitalia;1
immobiliare roma srl;1
sampo insurance eur (samas fh) serie a;1
palazzo di vetro srl ;1
imnsi (grafia poco leggibile);1
enel g.p.;2
Eurizon Capital GP linea conservativa;2
cassa di risparmio bolzano;1
biasotti group srl;1
il dominicale soc. coop;1
ma.ma. srl;1
cassa di risparmio di bolzano;1
astm;1
costruzioni edili avellino srl;1
yoox;2
david jones aus;2
banco santander centrale hispano s.a.;1
procter & gamble co. (pg-us) $;1
sdmbbktcoge18;2
PF EURO GOV BT CUM;2
new for srl;1
ducati energia s.a.;1
grado golf resort and real estate srl;1
bcc banca malatestiana;1
fidelity us dollar cash a cap $;1
g.a.t. argine secchia sud;1
sidim srl;1
casa melli srl;1
doan srl;2
g. candiani srl ;1
unicredit 15 sup tlx;2
il girifalco srl;1
stmicroelectronics nv - eur;1
start sas di stefano dario & c;1
immobiliaria l.h. s.a.c.v. - messico;2
lvnh;2
esse re srl;1
compagnia manifatturiera srl;2
edition raetia srl;1
gogacharter srl;1
esor srl;1
edicity srl;1
ahold kon (ah na);1
seat pagine gialle;1
agraria cosimini antonio srl;1
edison - azioni ordinarie eur;1
veneto banca scpa;1
laboratori farmaceutici krymi spa;1
sdc2bktcomg15;2
deutsche telecom;1
eni;8
banca marche;1
Anima Valore classe A;2
Fondo comune eurizon azioni area;2
banca popolare del lazio scpa;1
il sole;1
italcementi;1
bank of america;1
cooperativa culturale rys;1
stm;1
banca popolare di sondrio;1
vaccari simonetta, marina e valeria soc. semplice;1
italcementi ord;1
telecom ordinarie;1
fmr art'è spa;1
cassa di risparmio fabriano-cupra marittima;1
immobiliare naviglio spa;1
enel spa;6
cassa risparmio ravenna spa;1
immobiliare mezzo secolo sas di caloni e c;1
salvatore ferragamo;1
silila sas ;1
banca di credito cooperativo irpinia;1
orizzonti srl;1
fiat ;1
allianz ag. eur;1
btp 015t 22;1
editfree srl;1
banca popolare di vicenza;3
biogen idec inc usd;1
banca popolare dell'alto adige coop;1
telecom italia spa;1
banca popolare emilia romagna;1
fin office srl;1
stella diurna srl;1
gruppo espresso;2
bergamo immobiliare srl;1
consultinvest multi op class b;1
immobiliare la canniccia di rigoni andrea & c. snc;1
mediobanca;2
studia srl;1
foglio edizioni srl;1
i monaci srl;1
assicurazioni generali ord;1
fiat industrial spa;1
a2a spa;1
